verdict,tier,company,title,location,url,source,ats,id,pay,pay_junk,benchmark,family,timing,intern_kind,watchlist,agency,oem,score,fit_pos,fit_neg,fit_margin,cv_variant,reasons
keep,B,工業技術研究院 (Industrial Technology Research Institute),AI-Driven Physical Simulation Engineer (IS),"新竹市, 新竹市, 台灣",https://www.cake.me/companies/itri-org/jobs/07cd5e89-0433-4622-9c61-4d0394f079b5-ai-driven-physical-simulation-en-3434af6055a2e0d558870fc24a3c79,cake,cake,07cd5e89-0433-4622-9c61-4d0394f079b5-ai-driven-physical-simulation-en-3434af6055a2e0d558870fc24a3c79,Monthly Salary TWD 0~0,1,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,,0,0,0,-5,0.136,0.0271,0.1089,en,"pos=0.136,neg=0.027,margin=0.109,junk_pay"
keep,B,WONDERLAND,[4441402850] Supply Chain Planning Systems Analyst,臺北市,https://www.yourator.co/companies/WONDERLAND/jobs/47805,yourator,sqlite,47805,面議（經常性薪資達4萬元）,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,20,0.1527,0.0444,0.1083,en,"pos=0.153,neg=0.044,margin=0.108"
keep,B,統一資訊股份有限公司,"數據工程師｜雲端 × 地端，打造零售產業核心數據骨幹 Data Engineer｜Cloud × On-Premise, Building the Data Backbone of Retail",臺北市,https://www.yourator.co/companies/pic-net/jobs/47704,yourator,sqlite,47704,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1423,0.0352,0.1071,ai,"pos=0.142,neg=0.035,margin=0.107"
keep,B,"Polymer Systematic Taiwan Limited, Taiwan Branch",Data Engineer,"台北市, 台灣",https://www.cake.me/companies/polymertaiwan/jobs/senior-front-end-developer-61e06c,cake,sqlite,senior-front-end-developer-61e06c,Monthly Salary TWD 50000~90000,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1065,0,0.1065,ai,"pos=0.106,neg=0.000,margin=0.106"
keep,B,賽微科技 Cyberon,AI 平台開發工程師（LLM／Agentic AI）,新北市,https://www.yourator.co/companies/cyberon/jobs/47637,yourator,sqlite,47637,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,ml_research,ft,,0,0,0,85,0.1302,0.0249,0.1053,ai,"pos=0.130,neg=0.025,margin=0.105"
keep,B,蓋亞資訊有限公司,AI Training 工程師,"內湖區, 台北市, 台灣",https://www.cake.me/companies/gaia-net/jobs/ai-training-engineer,cake,cake,ai-training-engineer,not stated,0,market: no benchmark for this role family,software,ft,,0,0,0,10,0.1147,0.0111,0.1036,en,"pos=0.115,neg=0.011,margin=0.104"
keep,B,WebComm 偉康科技,Elasticsearch 數據工程師,臺北市,https://www.yourator.co/companies/WebComm/jobs/37867,yourator,sqlite,37867,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,software,ft,,0,0,0,20,0.1115,0.0095,0.102,en,"pos=0.112,neg=0.009,margin=0.102"
keep,B,禾亞數位科技股份有限公司,ML 工程師（Machine Learning Engineer）,"信義區, 台北市, 台灣",https://www.cake.me/companies/hoyabit/jobs/machine-learning-engineer-3b1,cake,cake,machine-learning-engineer-3b1,not stated,0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,,0,0,0,75,0.1096,0.0087,0.1009,ai,"pos=0.110,neg=0.009,margin=0.101"
keep,B,SHOPLINE 商線科技股份有限公司,【TENG1402】Data Engineer,臺北市,https://www.yourator.co/companies/shopline/jobs/32467,yourator,sqlite,32467,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.0986,0,0.0986,ai,"pos=0.099,neg=0.000,margin=0.099"
keep,B,偉康科技股份有限公司,Elasticsearch 數據工程師,"松山區, 台北市, 台灣",https://www.cake.me/companies/webcomm/jobs/a419c214-12ae-4bed-9ea6-91755d3972ec-elasticsearch-data-architect-48ae05d38c446d62f4a41efeb36f71,cake,sqlite,a419c214-12ae-4bed-9ea6-91755d3972ec-elasticsearch-data-architect-48ae05d38c446d62f4a41efeb36f71,Annual Salary TWD 1000000~2500000,0,market: no benchmark for this role family,software,ft,,0,0,0,20,0.1038,0.0089,0.0949,en,"pos=0.104,neg=0.009,margin=0.095"
keep,B,CloudMile 萬里雲,雲端解決方案架構師 Cloud Solution Architect (Data/AI),"信義區, 台北市, 台灣",https://www.cake.me/companies/mile.cloud/jobs/11ac9c2f-30ca-44da-b61f-627d3eb6e95c-cloud-solution-architect-data-a-d036fb9623d9af4dd194ff2d6c8301,cake,cake,11ac9c2f-30ca-44da-b61f-627d3eb6e95c-cloud-solution-architect-data-a-d036fb9623d9af4dd194ff2d6c8301,not stated,0,market: no benchmark for this role family,other,ft,,0,0,0,10,0.1069,0.0148,0.0921,zh,"pos=0.107,neg=0.015,margin=0.092"
keep,B,iMerit Technology,AI Response Analyst,Remote,https://remoteOK.com/remote-jobs/remote-ai-response-analyst-imerit-technology-1137309,remoteok,sqlite,1137309,20000-20000,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,15,0.1577,0.0681,0.0896,en,"pos=0.158,neg=0.068,margin=0.090"
keep,B,KPMG安侯建業聯合會計師事務所,【顧問部】金融科技與機器學習應用 (資料科學家/數據科學家)-317317,"信義區, 台北市, 台灣",https://www.cake.me/companies/KPMG/jobs/7f6c2703-2066-4575-8c08-66d348944a41-consulting-department-financia-e90a166b66daa76729040efaf49039,cake,cake,7f6c2703-2066-4575-8c08-66d348944a41-consulting-department-financia-e90a166b66daa76729040efaf49039,Monthly Salary TWD 0~0,1,market: no benchmark for this role family,ml_research,ft,,0,0,0,60,0.0891,0,0.0891,ai,"pos=0.089,neg=0.000,margin=0.089,junk_pay"
keep,B,國泰金控 Cathay Financial Holdings,系統分析師(SA),臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/32748,yourator,sqlite,32748,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,analyst,ft,,0,0,0,20,0.0887,0,0.0887,zh,"pos=0.089,neg=0.000,margin=0.089"
