company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
Appier,Technical Program Manager — AdCloud AI Bidding,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8213076,,greenhouse,8213076,not stated,market: no benchmark for this role family,other,later_senior,5,en
Appier,Technical Solution Engineer (Greater China Region),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/3785463,,greenhouse,3785463,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Appier,Technical Solution Engineer Intern,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/5001910,,greenhouse,5001910,not stated,market: interns typically NT$200-250/hour or a fixed monthly stipend,software,now_intern,55,en
Appier,Technical Support/Solution Engineer - Enterprise Solutions (TW or JP or KR),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/3267291,,greenhouse,3267291,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Arango,Golang Kubernetes Engineer,Remote,https://remoteOK.com/remote-jobs/remote-golang-kubernetes-engineer-arango-1137400,remoteok,sqlite,1137400,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Authme 數位身分股份有限公司,Backend Developer ( .NET ) 後端工程師,"台北市, 台灣",https://www.cake.me/companies/authme/jobs/sr-backend-developer-net-senior-backend-engineer,cake,sqlite,sr-backend-developer-net-senior-backend-engineer,Annual Salary TWD 1000000.0~1500000.0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
BeeInventor 點子建有限公司,Mid-Level Backend Engineer,"台北市, 台灣",https://www.cake.me/companies/beeinventor/jobs/mid-level-backend-engineer,cake,sqlite,mid-level-backend-engineer,Annual Salary TWD 800000~1100000,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,20,en
Benzinga,AI Engineer Data APIs,Remote,https://remoteOK.com/remote-jobs/remote-ai-engineer-data-apis-benzinga-1137224,remoteok,sqlite,1137224,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,5,ai
Binance,AI Agent Engineer,"Asia, Taiwan, Taipei",https://jobs.lever.co/binance/3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c,lever:binance,sqlite,3a2ca7e0-e2c9-4248-b8fe-0de5d05dee1c,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,"AI Backend Developer, Binance Square (Java, Golang, Python)","Taiwan, Taipei, South East Asia, Vietnam, Ho Chi Minh, Thailand, Bangkok, Hong Kong, Australia, Brisbane, Australia, Melbourne, Australia, Sydney, Asia",https://jobs.lever.co/binance/517f9531-86cc-4260-924f-6240e4bf8b36,lever:binance,sqlite,517f9531-86cc-4260-924f-6240e4bf8b36,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Binance,AI Chatbot Product Manager,"Asia, Hong Kong, Taiwan, Taipei",https://jobs.lever.co/binance/4e1e4873-f239-4996-a42b-9b79596cfa6d,lever:binance,sqlite,4e1e4873-f239-4996-a42b-9b79596cfa6d,not stated,market: no benchmark for this role family,other,later_senior,5,en
